scene,setup,room,actorId,posX,posY,posZ,rotX,rotY,rotZ,actorParams,frontRoom,backRoom,
0,0,-1,"002E",65081,400,455,0,400,0,"003F",1,0,
0,0,-1,"002E",64001,64776,1070,0,64776,0,"01C9",6,5,
0,0,-1,"002E",65461,64656,580,0,64656,0,"01D5",4,3,
0,0,-1,"002E",63116,64776,65083,0,64776,0,"003F",8,7,
0,0,-1,"002E",64640,63656,64572,0,63656,0,"007F",11,9,
0,0,-1,"002E",64600,400,936,0,400,0,"008C",2,1,
0,0,-1,"002E",64976,800,0,0,800,0,"007F",0,10,
0,0,-1,"002E",63681,64776,770,0,64776,0,"007F",7,6,
0,0,-1,"002E",65201,64656,960,0,64656,0,"0099",5,4,
0,0,-1,"0023",0,65216,0,0,65216,0,"00BF",0,3,
0,0,-1,"0023",64901,64436,0,0,64436,0,"00BF",3,9,
0,0,-1,"0023",64481,64716,0,0,64716,0,"013F",7,3,
0,0,0,"00C7",-71,800,252,0,0,0,"0001",,,
0,0,0,"00C7",-88,0,-363,0,0,0,"0001",,,
0,0,0,"0013",-54,262,-397,16384,19115,0,"0003",,,
0,0,0,"0013",-472,860,-40,0,47879,0,"0003",,,
0,0,0,"0095",94,133,-307,16384,62624,0,"0000",,,
0,0,0,"0125",392,0,-158,0,56799,0,"FF01",,,
0,0,0,"0125",356,0,-235,0,56799,0,"FF01",,,
0,0,0,"0125",308,0,-291,0,56799,0,"FF01",,,
0,0,0,"0125",143,307,-401,0,0,0,"FF01",,,
0,0,0,"0125",81,293,-416,0,0,0,"FF01",,,
0,0,0,"0055",-195,800,-195,0,40779,0,"0000",,,
0,0,0,"0055",256,800,-69,0,0,0,"0000",,,
0,0,0,"011B",0,-24,0,40,6,0,"8001",,,
0,0,0,"011B",-417,400,427,0,0,0,"0103",,,
0,0,0,"011B",-535,800,0,0,0,0,"0103",,,
0,0,0,"011B",118,0,-325,20,0,0,"1F02",,,
0,0,0,"011B",465,360,114,28,0,0,"1F02",,,
0,0,0,"011B",282,360,360,20,0,0,"1F02",,,
0,0,0,"0015",-22,270,-88,0,0,0,"2403",,,
0,0,0,"0095",278,360,332,0,40960,0,"8102",,,
0,0,0,"0125",-11,0,-344,0,0,0,"FF02",,,
0,0,0,"0125",-159,0,-302,0,0,0,"FF02",,,
0,0,0,"002B",372,360,187,0,45875,0,"0006",,,
0,0,0,"002B",321,981,285,0,40960,0,"0008",,,
0,0,0,"005E",-153,0,2,0,0,0,"03E7",,,
0,0,0,"005E",400,360,121,0,46421,0,"03E7",,,
0,0,0,"005E",-490,800,-36,0,51883,0,"03E7",,,
0,0,0,"012A",-311,800,-311,0,57345,0,"2700",,,
0,0,0,"01A0",279,360,333,0,24576,0,"FFFF",,,
0,0,0,"000A",333,360,253,0,8374,0,"0823",,,
0,0,0,"000F",0,0,0,0,16384,0,"4FC5",,,
0,0,0,"000F",-491,800,-1,0,16384,0,"19CA",,,
0,0,0,"000F",-388,400,389,0,24576,0,"1FD6",,,
0,0,0,"01D7",0,800,0,0,0,0,"0000",,,
0,0,0,"01D7",0,800,0,0,21844,0,"0001",,,
0,0,0,"01D7",0,800,0,0,43692,0,"0002",,,
0,0,1,"0125",-643,400,798,0,0,0,"FF01",,,
0,0,1,"0125",-654,400,582,0,0,0,"FF01",,,
0,0,1,"0125",-788,400,702,0,0,0,"FF01",,,
0,0,1,"0055",-676,400,689,0,0,0,"0001",,,
0,0,1,"0015",-594,400,840,0,0,0,"2303",,,
0,0,1,"0125",-572,400,727,0,0,0,"FF02",,,
0,0,1,"0125",-575,400,627,0,0,0,"FF02",,,
0,0,1,"0125",-736,400,795,0,0,0,"FF02",,,
0,0,1,"0125",-753,400,614,0,0,0,"FF02",,,
0,0,1,"002B",-724,400,916,0,0,0,"0006",,,
0,0,1,"002B",-887,400,731,0,0,0,"0006",,,
0,0,1,"012A",-920,542,918,0,24576,0,"0C02",,,
0,0,2,"0095",-1181,381,1398,16384,24394,0,"0000",,,
0,0,2,"0095",-1395,401,1186,16384,24576,0,"0000",,,
0,0,2,"0037",-1256,748,1249,0,24940,0,"0000",,,
0,0,2,"0125",-1019,280,1229,0,50972,0,"FF01",,,
0,0,2,"0125",-1046,280,1271,0,50972,0,"FF01",,,
0,0,2,"0125",-1224,280,1029,0,0,0,"FF01",,,
0,0,2,"0125",-1277,280,1044,0,0,0,"FF01",,,
0,0,2,"011B",-1393,280,1188,0,0,0,"1F02",,,
0,0,2,"011B",-1186,355,1398,0,0,0,"1F02",,,
0,0,2,"011B",-1176,480,1485,0,0,0,"1F02",,,
0,0,2,"012C",-1214,390,1208,0,57345,0,"0080",,,
0,0,2,"0015",-1128,656,1571,0,0,0,"2203",,,
0,0,2,"0095",-1056,770,1648,16384,40960,0,"8108",,,
0,0,2,"002B",-1306,280,1116,0,0,0,"0006",,,
0,0,2,"002B",-1346,480,1355,0,0,0,"0006",,,
0,0,2,"01D1",-1208,547,1390,0,57345,0,"39FF",,,
0,0,2,"01D1",-1166,547,1348,0,57345,0,"39FF",,,
0,0,2,"01D1",-1165,547,1434,0,57345,0,"39FF",,,
0,0,2,"01D1",-1123,547,1390,0,57345,0,"39FF",,,
0,0,2,"0173",-1065,590,1074,5,34,1,"3F04",,,
0,0,2,"0127",-1119,656,1477,0,40960,0,"0003",,,
0,0,2,"0127",-1183,656,1521,0,40960,0,"0004",,,
0,0,2,"0127",-1236,656,1558,0,40960,0,"0008",,,
0,0,2,"000A",-1391,480,1391,0,57345,0,"0801",,,
0,0,2,"0051",-1066,530,1066,0,57345,0,"0121",,,
0,0,3,"00C7",31,-845,-212,0,32404,0,"0001",,,
0,0,3,"0125",-39,-880,118,0,0,0,"FF01",,,
0,0,3,"0125",5,-880,119,0,0,0,"FF01",,,
