scene,setup,room,actorId,posX,posY,posZ,rotX,rotY,rotZ,actorParams,frontRoom,backRoom,
0,0,-1,"002E",65081,400,455,0,400,0,"007F",0,1,
0,0,-1,"002E",64001,64776,1070,0,64776,0,"0083",5,6,
0,0,-1,"002E",65461,64656,580,0,64656,0,"003F",3,4,
0,0,-1,"002E",63116,64776,65083,0,64776,0,"003F",8,7,
0,0,-1,"002E",64640,63656,64572,0,63656,0,"007F",11,9,
0,0,-1,"002E",64600,400,936,0,400,0,"007F",2,1,
0,0,-1,"002E",64976,800,0,0,800,0,"00BC",0,10,
0,0,-1,"002E",63681,64776,770,0,64776,0,"0083",7,6,
0,0,-1,"002E",65201,64656,960,0,64656,0,"0084",5,4,
0,0,-1,"0023",0,65216,0,0,65216,0,"00BF",0,3,
0,0,-1,"0023",64901,64436,0,0,64436,0,"00BF",3,9,
0,0,-1,"0023",64481,64716,0,0,64716,0,"013F",7,3,
0,0,0,"0095",283,478,357,0,41871,0,"0000",,,
0,0,0,"0095",416,520,179,0,45875,0,"0000",,,
0,0,0,"0095",321,678,316,0,42235,0,"0000",,,
0,0,0,"0037",-67,1069,255,0,62805,0,"0001",,,
0,0,0,"0037",256,1071,-62,0,19115,0,"0001",,,
0,0,0,"0037",-179,1071,-190,0,40960,0,"0001",,,
0,0,0,"0125",391,0,-156,0,56799,0,"FF01",,,
0,0,0,"0125",355,0,-233,0,56799,0,"FF01",,,
0,0,0,"0125",307,0,-289,0,56799,0,"FF01",,,
0,0,0,"0125",80,293,-414,0,0,0,"FF01",,,
0,0,0,"0125",142,307,-399,0,0,0,"FF01",,,
0,0,0,"0055",-218,0,63,0,53158,0,"0000",,,
0,0,0,"0055",-41,0,-230,0,32769,0,"0000",,,
0,0,0,"0055",194,0,105,0,12378,0,"0000",,,
0,0,0,"000A",333,360,253,0,8374,0,"0823",,,
0,0,0,"000F",0,0,0,0,16384,0,"4FC5",,,
0,0,0,"011B",-417,400,427,0,0,0,"0A03",,,
0,0,0,"011B",-513,800,10,0,0,0,"0A03",,,
0,0,0,"011B",0,-24,0,40,6,0,"9301",,,
0,0,0,"011B",118,0,-325,20,0,0,"1F02",,,
0,0,0,"011B",-1393,280,1188,0,0,0,"1F02",,,
0,0,0,"011B",-1186,355,1398,0,0,0,"1F02",,,
0,0,0,"011B",-1176,480,1485,0,0,0,"1F02",,,
0,0,0,"011B",465,360,114,28,0,0,"1F02",,,
0,0,0,"011B",282,360,360,20,0,0,"1F02",,,
0,0,0,"0015",-25,280,-81,0,0,0,"2C03",,,
0,0,0,"0015",87,744,-16,0,0,0,"2D03",,,
0,0,0,"01D7",0,800,0,0,0,0,"0000",,,
0,0,0,"01D7",0,800,0,0,21844,0,"0001",,,
0,0,0,"01D7",0,800,0,0,43692,0,"0002",,,
0,0,1,"0192",-695,400,692,0,0,0,"1A00",,,
0,0,2,"0125",-1229,280,1006,0,0,0,"FF01",,,
0,0,2,"0125",-1280,280,1026,0,0,0,"FF01",,,
0,0,2,"0125",-1005,280,1216,0,50972,0,"FF01",,,
0,0,2,"0125",-1018,280,1263,0,50972,0,"FF01",,,
0,0,2,"0173",-1065,590,1074,5,36,1,"3F04",,,
0,0,2,"000A",-1391,480,1391,0,57345,0,"00A1",,,
0,0,2,"000A",-1108,656,1581,0,8191,0,"5905",,,
0,0,2,"012C",-1188,390,1190,0,57345,0,"0050",,,
0,0,2,"0051",-1066,530,1066,0,57345,0,"0123",,,
0,0,3,"00C7",-546,-820,392,0,32404,0,"0001",,,
0,0,3,"0125",48,-880,130,0,0,0,"FF01",,,
0,0,3,"0125",48,-880,187,0,0,0,"FF01",,,
0,0,3,"0055",-637,-820,181,0,32769,0,"0000",,,
0,0,3,"0055",-50,-880,204,0,0,0,"0000",,,
0,0,3,"0055",-453,-820,-4,0,40233,0,"0000",,,
0,0,3,"005E",-465,-780,430,0,32769,0,"2400",,,
0,0,3,"005E",-425,-770,-430,0,16384,0,"2400",,,
0,0,3,"005E",-865,-760,-120,0,16384,0,"2400",,,
0,0,3,"005E",-866,-760,120,0,16384,0,"2400",,,
0,0,3,"0050",-1080,600,0,0,0,0,"FF02",,,
0,0,3,"000F",21,-850,-277,64445,54614,0,"9080",,,
0,0,3,"0095",-281,-815,-442,0,0,0,"8102",,,
0,0,3,"005E",26,-845,-290,0,57345,0,"83C2",,,
0,0,3,"012A",-150,-845,-289,0,0,0,"C200",,,
0,0,3,"0095",95,-713,-43,0,54249,0,"8104",,,
0,0,3,"000A",53,-845,-278,0,32769,0,"5904",,,
0,0,3,"000F",-635,-820,0,0,16384,0,"0FC6",,,
0,0,3,"000F",-82,-880,517,0,38048,0,"1FC9",,,
0,0,3,"017D",-365,-905,-290,0,0,1,"FF10",,,
0,0,3,"01D7",0,800,0,0,0,0,"0000",,,
0,0,3,"01D7",0,800,0,0,21844,0,"0001",,,
0,0,3,"01D7",0,800,0,0,43692,0,"0002",,,
0,0,4,"0125",49,-880,751,0,0,0,"FF01",,,
0,0,4,"0125",79,-880,794,0,0,0,"FF01",,,
0,0,4,"0125",-202,-880,751,0,0,0,"FF01",,,
0,0,4,"0125",-228,-880,791,0,0,0,"FF01",,,
0,0,4,"0192",-66,-880,961,0,42781,0,"9B00",,,
0,0,4,"012A",-314,-759,960,0,16384,0,"8412",,,
0,0,5,"0037",-1360,-806,1079,0,16384,0,"0100",,,
0,0,5,"0125",-1361,-870,840,0,0,0,"FF01",,,
0,0,5,"0125",-1310,-870,840,0,0,0,"FF01",,,
0,0,5,"00FF",-1365,-880,1200,0,0,0,"FFC0",,,
0,0,5,"0050",-835,-880,1050,0,16384,0,"FF00",,,
0,0,5,"0051",-835,-860,1050,0,16384,0,"00FF",,,
0,0,5,"011B",-1364,-883,1188,20,0,10,"0F08",,,
0,0,5,"011B",-700,-880,941,60,0,0,"510C",,,
0,0,5,"011B",-435,-880,1163,30,0,0,"510C",,,
0,0,5,"012A",-835,-1020,1264,0,0,0,"3E00",,,
0,0,5,"0050",-835,-900,1050,0,0,0,"3E01",,,
0,0,6,"00C7",-2038,-760,1251,0,24576,0,"0001",,,
0,0,6,"00C7",-1673,-760,1248,0,40960,0,"0001",,,
0,0,6,"0125",-1918,-760,820,0,0,0,"FF01",,,
0,0,6,"0125",-1796,-760,821,0,0,0,"FF01",,,
0,0,6,"0055",-1843,-760,1033,0,16384,0,"0000",,,
0,0,6,"005E",-1855,-760,1211,0,0,0,"2400",,,
0,0,6,"005E",-1966,-760,964,0,0,0,"5083",,,
0,0,6,"005E",-1743,-760,965,0,0,0,"5083",,,
0,0,7,"00C7",-2174,-760,295,0,23119,0,"0001",,,
0,0,7,"0037",-1854,-642,488,0,32769,0,"0000",,,
0,0,7,"0125",-2025,-760,-301,0,0,0,"FF01",,,
0,0,7,"0125",-1955,-760,-296,0,0,0,"FF01",,,
0,0,7,"0055",-2292,-760,-320,0,9101,0,"0000",,,
0,0,7,"002B",-1869,-320,14,0,0,0,"0008",,,
0,0,7,"002B",-2039,-320,15,0,0,0,"0008",,,
0,0,7,"002B",-1951,-320,140,0,0,0,"0008",,,
0,0,7,"005E",-2240,-760,75,0,0,0,"2400",,,
0,0,7,"000F",-1355,-820,3,0,49152,0,"1FC7",,,
0,0,7,"000F",-2229,-760,-262,0,8191,0,"1FC8",,,
0,0,7,"0059",-2345,-760,-381,0,8191,0,"2012",,,
0,0,8,"0037",-2684,-735,-712,0,8191,0,"0000",,,
0,0,8,"0095",-2577,-626,-411,0,32769,0,"8101",,,
0,0,9,"0125",-269,-1880,-643,0,0,0,"FF01",,,
0,0,9,"0125",-273,-1880,-577,0,0,0,"FF01",,,
0,0,9,"0125",-273,-1880,-515,0,0,0,"FF01",,,
0,0,9,"0192",-662,-1880,-957,0,0,0,"0001",,,
0,0,9,"0192",-311,-1880,-904,0,0,0,"0002",,,
